model_id,experiment,access,utterance,alpha_hat,kl_bets_vs_logprob,mae_bets_vs_logprob,kl_bets_vs_rsa,mae_bets_vs_rsa,kl_rsa_vs_logprob,mae_rsa_vs_logprob
meta-llama--Llama-3.1-8B-Instruct,exps_some,3,some,0.1,0.6953497404513792,0.25055003402829723,0.0,0.0,0.6953497404513792,0.25055003402829723
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,1,1,0.1,0.08511468613026948,0.09136071956473932,0.07664836830900956,0.08260727691267156,0.22878194624822226,0.14042785451476542
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,2,1,0.1,0.05817995238013688,0.07808070106983173,0.28420735969085503,0.11297031046519054,0.3458418871379145,0.1739310217166389
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,2,2,0.1,0.05577853647603641,0.07517323819612863,0.3276130046016875,0.1238333163375478,0.14222562418265916,0.09290546082661312
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,3,1,0.1,0.07302026293293902,0.08808982436725783,0.5297709588095719,0.1697697092884369,0.6154047676820851,0.23174684207936386
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,3,2,0.1,0.07593077779157084,0.08848674452578893,0.5832762241324644,0.1830512098687904,0.2013470491640172,0.1291800058865849
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,3,3,0.1,0.07672231801050576,0.0852832882574907,0.4803650469218498,0.19400583320686599,0.35669530058016347,0.15538473316975393
meta-llama--Llama-3.2-1B-Instruct,exps_some,1,some,0.1,0.08406058818201366,0.0955035929685499,0.23006356357745764,0.12266763351343077,0.3750804020317028,0.1783859786863277
meta-llama--Llama-3.2-1B-Instruct,exps_some,2,some,0.1,0.047590350814078364,0.07101091498032028,0.37207533835618,0.14864952739332626,0.4152313471187609,0.19270118608946815
meta-llama--Llama-3.2-1B-Instruct,exps_some,3,some,0.1,0.06943925631539244,0.08398710788465441,0.5552787037059073,0.18116401824083833,0.5680584564776279,0.21490778427746451
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,1,1,0.1,0.6072145205735685,0.148935679071264,17.552946946853172,0.3375,3.5428848331662586,0.4855351254580252
